model,descriptor,baseline,n_probes,mean,median,p05,p95,min,max,std,frac_sign_flip
tcr,alpha,-0.05,500,-0.05000000000000002,-0.05,-0.05000000000000001,-0.049999999999999996,-0.05000000000000001,-0.049999999999999996,1.475555421571745e-17,0.0
tcr,tau,20.0,500,20.0,20.0,19.999999999999996,20.0,19.999999999999996,20.0,1.447485600711457e-15,
tcr,gap,10.0,500,10.0,10.0,9.999999999999996,10.0,9.999999999999996,10.0,1.2585836077447504e-15,
tcr,Q,0.0,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
tcr,r_PR,3.603280684828333,500,3.3014055463012304,3.3562451850726926,2.7863228943897895,3.640318125862611,2.5017149572664414,3.749142393976426,0.26297908887008103,
tcr,omega,0.07472344364939996,500,0.1560852631217029,0.12517623343915063,0.02038608175548616,0.4055830782433152,-0.012438242372299948,0.6713598830700783,0.12196418204405018,0.01
tcr,G_max,1.3015930110713183,500,1.5379383710351808,1.3574659680443,1.0332280982265505,2.6367700876735722,1.0,3.650968369202532,0.5070328867832965,
tcr,t_star,7.008760951188987,500,5.962453066332917,6.508135168961202,1.5018773466833544,9.011264080100126,0.0,10.012515644555695,2.292729444857769,
tcr,nu,0.6722926454528138,500,0.753459225276574,0.7512628937670185,0.6488168349444581,0.8626930448414453,0.5791550239527316,0.9067354378344123,0.06520115227052893,
tcr,horizon,400.0,500,400.0,400.0,399.99999999999994,400.00000000000006,399.99999999999994,400.00000000000006,3.457650183405701e-14,
nfkb,alpha,-0.012479144958665724,500,-0.012479144958665726,-0.012479144958665724,-0.012479144958665743,-0.012479144958665707,-0.012479144958665755,-0.012479144958665693,1.074856839485749e-17,0.0
nfkb,tau,80.13369532225711,500,80.13369532225711,80.13369532225711,80.133695322257,80.13369532225722,80.13369532225691,80.13369532225731,6.848098679857672e-14,
nfkb,gap,0.0,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
nfkb,Q,3.8626134299104673,500,3.8626134299104695,3.8626134299104695,3.862613429910464,3.8626134299104744,3.8626134299104575,3.8626134299104797,3.071864930014623e-15,
nfkb,r_PR,2.2123584776515344,500,2.062270458057303,2.1150798111772104,1.5410538285206747,2.373241622961315,1.3467582230099482,2.396337345598003,0.2504926859111182,
