model,descriptor,baseline,min_over_scalings,max_over_scalings,std_over_scalings
tcr,alpha,-0.05,-0.05000000000000001,-0.05,5.665583147960493e-18
tcr,tau,20.0,19.999999999999996,20.0,2.0511601988091347e-15
tcr,gap,10.0,9.999999999999998,10.0,1.0255800994045674e-15
tcr,Q,0.0,0.0,0.0,0.0
tcr,r_PR,3.603280684828333,3.1989700897171587,3.603280684828333,0.19059384233911994
tcr,omega,0.07472344364939996,0.056705525903246026,0.07472344364939996,0.008493727880777922
tcr,G_max,1.3015930110713183,1.0844663308338407,1.3015930110713183,0.10235449864829571
tcr,t_star,7.008760951188987,2.503128911138923,7.008760951188987,2.1239753127005185
tcr,nu,0.6722926454528138,0.6722926454528138,0.7548105696375532,0.03889932250697779
tcr,horizon,400.0,399.99999999999994,400.0,3.2818563180946156e-14
nfkb,alpha,-0.012479144958665724,-0.012479144958665724,-0.012479144958665717,3.3217425607229918e-18
nfkb,tau,80.13369532225711,80.13369532225711,80.13369532225715,2.0097183471152322e-14
nfkb,gap,0.0,0.0,0.0,0.0
nfkb,Q,3.8626134299104673,3.8626134299104673,3.8626134299104704,1.472877282518059e-15
nfkb,r_PR,2.2123584776515344,2.2123584776515344,2.2504616276028044,0.017961997143407286
nfkb,omega,0.00856985827427413,0.0012251557978647837,0.00856985827427413,0.0034623259512444517
nfkb,G_max,1.0724318783603015,1.0040374978917634,1.0724318783603015,0.03224142014957069
nfkb,t_star,14.04094786622778,6.017549085526195,14.04094786622778,3.7822664573319784
nfkb,nu,0.46579688631485283,0.41681241234405797,0.46579688631485283,0.023091502478403317
nfkb,horizon,1602.6739064451424,1602.6739064451424,1602.673906445143,3.9382275817135387e-13
murphy_miller,alpha,-0.65,-0.6500000000000007,-0.65,3.1401849173675503e-16
murphy_miller,tau,1.5384615384615383,1.5384615384615368,1.5384615384615383,7.475135279923368e-16
murphy_miller,gap,0.0,0.0,0.0,0.0
murphy_miller,Q,2.9098892799042666,2.909889279904264,2.9098892799042666,1.3322676295501878e-15
murphy_miller,r_PR,1.095306171074577,1.0860186713591484,1.095306171074577,0.00437816935269848
murphy_miller,omega,3.707177985806869,3.707177985806869,3.9598553130165213,0.11911323434802476
murphy_miller,G_max,2.988442975082458,2.988442975082458,3.1462928758216777,0.07441115681488382
murphy_miller,t_star,0.6546644844517184,0.6546644844517179,0.6546644844517184,2.642859423360307e-16
murphy_miller,nu,0.9511539459653323,0.9511539459653323,0.9560237071541957,0.0022956274396029146
murphy_miller,horizon,30.769230769230766,30.769230769230738,30.769230769230766,1.3450356907185972e-14
predator_prey,alpha,-0.11715728752538097,-0.11715728752538097,-0.11715728752538093,1.962615573354719e-17
predator_prey,tau,8.53553390593274,8.53553390593274,8.535533905932741,1.0255800994045674e-15
predator_prey,gap,4.828427124746191,4.828427124746191,4.828427124746193,1.2560739669470201e-15
predator_prey,Q,0.0,0.0,0.0,0.0
predator_prey,r_PR,1.1904761904761905,1.063636944425281,1.1904761904761905,0.059792594002124784
predator_prey,omega,0.012310562561766061,0.012310562561766061,0.36718035158078827,0.16728722283572667
predator_prey,G_max,1.006876277150623,1.006876277150623,1.6188683715863983,0.28849584000539646
predator_prey,t_star,0.8546216676778713,0.8546216676778713,2.7775204199530825,0.9064631648459687
